Yorum;Kategori
Çok yavaþ, giriþ hýzlandýrýlmalý, menü geçiþleri hýzlandýrýlmalý. E devlete giriþ yeri yok;Yavaþ
Mobil uygulama sayfasini kullanamiyorum. Gorsel olarak aradigimi bulamiyorum. Internet subesi daha pratik ve kullanisli.;Kullanýþsýz
Kredi kartý talebimi reddettiniz,neden? Yýllardýr çalýþtýðým Denizbank,Ziraat Bankasýna beni soramadýnýzmý?Fýndýk notumuda görmedinizmi?..;Kart
Banka ödemelerim çok düzgün hesaplarýndan birçok para geçiyor kredi kartý talep ettim tenezzül edip cevap vermediler;Kart
Ýyi görmüyorum geliþtirmeniz gerekiyor;Kullanýþsýz
Hiç memnun kalmadým;Genel Memnuniyetsizlik
Verdiðiniz sözü tutmamanýz ve alba fx uygulamasýný kaldýrmanýz yüzünden ettiðim zarar;AlbaFx
Döviz emtia alým satým makaslarýnýzý güncellemenizi tavsiye ederim fiziki piyasa makaslarý bile sizin makaslardan daha iyi;Kur Marjý
Ýlgi alaka sýfýr;Ýlgisizlik
Berbat;Kullanýþsýz
Sürekli onay istiyor ve baðlantý hatalarý çok fazla;Aþýrý Güvenlik
Personelin ilgisizligi;Ýlgisizlik
Bankamatik sadece bankada var ptt den alamýyoruz;ATM
Berbat ne açýlýyor ne kapanýyor yavaþ ötesi;Yavaþ
Memnun deðilim;Genel Memnuniyetsizlik
Yüksek makas aralýðý kýymetli madende;Kur Marjý
Müþteri memnuniyeti sýfýr;Ýlgisizlik
Mobil uygulamanýz çok yavaþ. Hiç memnun deðilim.;Yavaþ
Çok yavaþ açýlmasý ve reklamlarý Bi atlatabilsek iþlem yapacagýz;Yavaþ
Alba fx i habersiz kapatmak nedir bir kaç gün içinde memlekete döndüðümde bütün hesabýmý kapatacaðým;AlbaFX
Mobil þubeniz hiç güzel deðil. Çok yavaþ ve mesai dýþýnda iþlem yapamýyorum.;Yavaþ
Sistem cok yavas calisiyor. Yapmak istedigin bir islem icin surekli ekranin gelmesini bekliyoruz;Yavaþ
