Yorum;Kategori
Sakaryada 1 tane atm var o da bankanýn yanýnda biz maaþ müþterisiyiz fakat o banka bu banka aynenlerinden maaþýmýzý çekmek için mücadele ediyoruz anlaþmalý bankalar var fakat ekstra ücret talep ediyorlar önünün için insanlar maðdur oluyor sakarya hendekte atm yok onun için maaþ müþterileri baþka banklardan mâaþ larýný almak için mücadele ediyor;ATM Sayýsý Yetersiz
0 puan verme amacim atmde karti yuvaya sokarken ileriye dogru itmediðimiz surece almiyor aldigi zamanda tekrar disari veriyor diger sekil sokmak gerekiyor tersi duzu belli degil bide sokarken itmeden almiyor cok deðiþik bir atm;Kullanýþsýz
Rize Albaraka þubesine dorun;Þube
Diðer bankalar bakýldýðýnda ne atm ne mobil uygulamasý çok kullanýþsýz ve gereksiz zorluyor;Kullanýþsýz
Ortak ATM yok, maðazalarda geçerli ayrýcalýk yok, ihtiyaç kredisi çýkmýyor , þehrimde tek bir tane ATM var para çekme yatýrma iþlemini gerçekleþtirmek için çok yol kat ediyorum sýrf iþ yerim bu bankayla çalýþýyor diye size baþvurmuþtum memnun da deðilim;ATM Sayýsý Yetersiz
ATM biz yok çok yerde;ATM Sayýsý Yetersiz
Atm meniz düzce merkezde Birtane baþka yok sürekli sýkýntý;ATM Sayýsý Yetersiz
Albarakadan memnun deðilim;Genel Memnuniyetsizlik
Qr kod okuma hýzý çok yavaþ ve okumuyor.;QR
"Mobil Ýnternete para çok zor gidiyor bazen bir yere para göndericem ama rezil oluyoruz sizden isteðimiz mobil uygulamasýný basitleþtirin durmadan þifre giriyorum pin istiyor  busefer insan býkýyor 
iþ bankasý gibi kolay laþtýrýn";Mobil
Memnun deðilim;Genel Memnuniyetsizlik
"Bana telefon veya mesajlý numara soruyor 
Yaþlýyým zorlanýyorum";Aþýrý Güvenlik
ATM ve þubeniz yok;ATM Sayýsý Yetersiz
Atm niz yokki hiç bir yerde;ATM Sayýsý Yetersiz
Her yerde Atm toktur;ATM Sayýsý Yetersiz
Bankanýz beni olmayan bir sebebten dolayý suçladý o yüzden çok kýzýyorum benim gibi bir müþteri yi kaybetti hiç tavsiye etmem;Genel Memnuniyetsizlik
Ýlgilenme sýfýr ek hesap baþvurusu yapmak istedim ilgilenme sýfýr þubeye gidiyorum yüzümüze bakýlmýyor ben memnun deðilim kimseyede tavsiye etmem;Ýlgisizlik
Ko a þehirde 2 ATM onlar da yan yana;ATM Sayýsý Yetersiz
Hiç memnun olmadým 3000 çeke biliyorum her banka ne kadar paran varsa cekiyon;Para Çekme Limiti Yetersiz
Çok zaman alýyor. Uðraþtýrýyor. Pratik deðil. Mesai saati dýþýnda eft yi anýnda ve ücret almadan yapsa daha güzel olur.;Para Çekme Limiti Yetersiz
Yabancýlara çok saygýsýzlýk yapýyorlar yani benim þube;Þube
Kýredivermiyorsunuz ayrýcakartdavermiyorsunuz;Kredi
Hiç memnun degilim;Genel Memnuniyetsizlik
Atmler diyecem lakin koca fýndýklý mahallesi bir PTT ATM var Albaraka ATM bile yok para çekmek için Kozyataðý na gitmek gerekiyor nasýl memnuniyeti belirtebilirim ATM çoðalsýn;ATM Sayýsý Yetersiz
Atm þube görevi yapmiyor;Genel Memnuniyetsizlik
Malatya büyük bir þehirdir. Koca malatyada bir tane ATM var. O da þubenin kapýsýnda. Bu çaðda böyle bir durum. Kýnýyorum.;ATM Sayýsý Yetersiz
Para cekerken SMS tel no istemenizden dýlayý;Aþýrý Güvenlik
"Qr kod sisteminizde bazen problem oluyor. 
Atmleriniz eski 
Konum bilgisi soruyor yanýnda olmamýza raðmen iþlem yapmýyor.";QR
Bulunduðum konumda atm sýkýntýsý var;ATM Sayýsý Yetersiz
Hiç bir yerde ATM niz yok çünkü;ATM Sayýsý Yetersiz
Kötü çalýþýyor;Kullanýþsýz
Yetersiz atm;ATM Sayýsý Yetersiz
Sürekli islem baþarýsýz dedi bir türlü islemlerimi yapamadým 3 defa denedim her defasýnda baþarýsýz oldu;Çalýþmýyor - Hata Veriyor
Pes para etmez bir banka hiç  bir iþe yaramýyor;Genel Memnuniyetsizlik
"Þübesi ve atm si olmayan banka yok hükmünde
Midyata bir þübe açýn";ATM Sayýsý Yetersiz
Yetersiz;ATM Sayýsý Yetersiz
Bankamatik sayýnýz az. Baþka atm kullanmak zorunda kalýyorum, iþlem ücreti ödüyorum.;ATM Sayýsý Yetersiz
